store_id,brand_id,shop_key,store_name,trade_name,business_legal_name,street_address,city,zip5,license_start_year,brand,origin_region,primary_beverage_category,hero_products,positioning,business_model,evidence_url,store_key_norm,shop_name_input,place_id,matched_google_url,website_url,google_rating,google_user_ratings_total,google_price_level,review_snippet_count,extracted_review_rows,fetch_ok,error,review_count,source_count,avg_rating,date_min,date_max
BID|PR0091735,32_below_bubble_tea,BID|PR0091735,32 BELOW SOFT SERVE + BUBBLE TEA,32 BELOW SOFT SERVE + BUBBLE TEA,32 BELOW SOFT SERVE + BUBBLE TEA,17054 116TH AVE SE,RENTON,98058,2024.0,32 Below Bubble Tea,Local/Regional,MilkTea,bubble tea/soft serve,Dessert plus bubble tea hybrid,Independent,,32BELOWSOFTSERVEBUBBLETEA,32 BELOW SOFT SERVE + BUBBLE TEA,ChIJX0m-TuJdkFQRyj_Tl1Wmt4g,https://maps.google.com/?cid=9851525596445884362,https://www.32belowsoftserve.com/,4.6,97.0,1.0,5,5,1,,5,1.0,4.6,2024-07-21,2026-02-02
BID|PR0089601,angel_boba,BID|PR0089601,ANGEL BOBA & SANDWICHES,ANGEL BOBA & SANDWICHES,ANGEL BOBA & SANDWICHES,2 B ST SE,AUBURN,98002,2021.0,Angel Boba,Local/Regional,MilkTea,boba/sandwich combo,Sandwich plus bubble tea hybrid,Independent,,ANGELBOBASANDWICHES,ANGEL BOBA & SANDWICHES,ChIJZfyrSlFZkFQRFkK2X7ceuJc,https://maps.google.com/?cid=10932521868375507478,https://angelboba-sandwich.com/?utm_source=google,4.6,129.0,,5,5,1,,10,2.0,4.6,2021-04-06,2026-02-07
BID|PR0091879,boba_house,BID|PR0091879,BOBA HOUSE,BOBA HOUSE,BOBA HOUSE,14359 15TH AVE NE,SEATTLE,98125,2024.0,Boba House,Local/Regional,MilkTea,boba drinks,Neighborhood boba concept,Independent,,BOBAHOUSE,BOBA HOUSE,ChIJaSHoqvsRkFQRTyl-5aOX_v4,https://maps.google.com/?cid=18374290259903916367,https://www.clover.com/online-ordering/boba-house-seattle,4.6,135.0,1.0,5,5,1,,21,4.0,3.809090909090909,2024-08-11,2025-12-20
BID|PR0088039,boba_house,BID|PR0088039,MELODY BOBA HOUSE,MELODY BOBA HOUSE,MELODY BOBA HOUSE,31406 PACIFIC HWY S STE A,FEDERAL WAY,98003,2023.0,Boba House,Local/Regional,MilkTea,boba drinks,Neighborhood boba concept,Independent,,MELODYBOBAHOUSE,MELODY BOBA HOUSE,ChIJDwwynThXkFQRDkW9HIo3smg,https://maps.google.com/?cid=7544153392126182670,https://melodyboba-federalway.com/,4.2,465.0,1.0,5,5,1,,10,2.0,4.6,2023-10-22,2026-02-10
BID|PR0087843,bobae,BID|PR0087843,BOBAE COFFEE & TEA,BOBAE COFFEE & TEA,BOBAE COFFEE & TEA,240 NW GILMAN BL STE 5,ISSAQUAH,98027,2024.0,Bobae,Local/Regional,MilkTea,boba coffee/milk tea,Hybrid coffee and milk tea concept,Independent/mini-chain,,BOBAECOFFEETEA,BOBAE COFFEE & TEA,ChIJ9zwi7tFvkFQRDYXm2Jn-J6U,https://maps.google.com/?cid=11900760477072262413,https://www.bobaeusa.com/,4.7,216.0,2.0,5,5,1,,25,2.0,4.416666666666666,2024-04-14,2026-02-16
BID|PR0090707,bobae,BID|PR0090707,BOBAE COFFEE & TEA,BOBAE COFFEE & TEA,BOBAE COFFEE & TEA,14676 NE 95TH ST,REDMOND,98052,2022.0,Bobae,Local/Regional,MilkTea,boba coffee/milk tea,Hybrid coffee and milk tea concept,Independent/mini-chain,,BOBAECOFFEETEA,BOBAE COFFEE & TEA,ChIJo1_GBT0TkFQR-bh2bHIcP6U,https://maps.google.com/?cid=11907267217562450169,http://www.bobaeusa.com/,4.7,347.0,2.0,5,5,1,,25,2.0,4.416666666666666,2024-04-14,2026-02-16
BID|PR0092154,bobae,BID|PR0092154,BOBAE COFFEE AND TEA,BOBAE COFFEE AND TEA,BOBAE COFFEE AND TEA,15745 NE 36TH ST,REDMOND,98052,2025.0,Bobae,Local/Regional,MilkTea,boba coffee/milk tea,Hybrid coffee and milk tea concept,Independent/mini-chain,,BOBAECOFFEEANDTEA,BOBAE COFFEE AND TEA,ChIJM_BwJgBtkFQRfUUMe70VWBU,https://maps.google.com/?cid=1538003176304428413,,4.5,13.0,,5,5,1,,5,1.0,4.2,2025-07-29,2026-02-12
BID|PR0020889,bobae,BID|PR0020889,BOBAE USA DBA BOBAE COFFEE & TEA,BOBAE USA DBA BOBAE COFFEE & TEA,BOBAE USA DBA BOBAE COFFEE & TEA,14015 NE WOODINVILLE DUVAL RD,WOODINVILLE,98072,2019.0,Bobae,Local/Regional,MilkTea,boba coffee/milk tea,Hybrid coffee and milk tea concept,Independent/mini-chain,,BOBAEUSADBABOBAECOFFEETEA,BOBAE USA DBA BOBAE COFFEE & TEA,ChIJLVoWr_sNkFQR2mqkYv73MCY,https://maps.google.com/?cid=2751972044272069338,http://www.bobaeusa.com/,4.7,844.0,2.0,5,5,1,,5,1.0,5.0,2025-04-24,2026-02-03
BID|PR0090145,bobae,BID|PR0090145,Bobae Coffee & Tea,Bobae Coffee & Tea,Bobae Coffee & Tea,168 LAKE ST S,KIRKLAND,98033,2022.0,Bobae,Local/Regional,MilkTea,boba coffee/milk tea,Hybrid coffee and milk tea concept,Independent/mini-chain,,BOBAECOFFEETEA,Bobae Coffee & Tea,ChIJo1_GBT0TkFQR-bh2bHIcP6U,https://maps.google.com/?cid=11907267217562450169,http://www.bobaeusa.com/,4.7,347.0,2.0,5,5,1,,25,2.0,4.416666666666666,2024-04-14,2026-02-16
BID|PR0065136,bobalust,BID|PR0065136,BOBALUST,BOBALUST,BOBALUST,116 SW 148TH ST ,BURIEN,98166,2021.0,Bobalust,Local/Regional,MilkTea,boba milk tea,Multi-city boba tea chain in King County,Independent chain,,BOBALUST,BOBALUST,ChIJq0XB9g5DkFQRtV37mxuvgPw,https://maps.google.com/?cid=18194735027692723637,http://bobalustteahouse.com/,4.2,115.0,,5,5,1,,25,1.0,4.4,2021-10-03,2026-02-08
BID|PR0079741,bobalust,BID|PR0079741,BOBALUST,BOBALUST,BOBALUST,1770 S 320th ST,FEDERAL WAY,98003,2020.0,Bobalust,Local/Regional,MilkTea,boba milk tea,Multi-city boba tea chain in King County,Independent chain,,BOBALUST,BOBALUST,ChIJRaiESbZXkFQRwxWbyPqXYbE,https://maps.google.com/?cid=12781664320817403331,http://bobalustteahouse.com/,4.1,128.0,,5,5,1,,25,1.0,4.4,2021-10-03,2026-02-08
BID|PR0086164,bobalust,BID|PR0086164,BOBALUST,BOBALUST,BOBALUST,12950 SE KENT KANGLEY RD,KENT,98030,2019.0,Bobalust,Local/Regional,MilkTea,boba milk tea,Multi-city boba tea chain in King County,Independent chain,,BOBALUST,BOBALUST,ChIJdaRSuI5fkFQRvJQJ3XOLMg0,https://maps.google.com/?cid=950975801074488508,https://www.bobalustteahouse.com/,4.3,131.0,,5,5,1,,25,1.0,4.4,2021-10-03,2026-02-08
BID|PR0072295,bobalust,BID|PR0072295,BOBALUST,BOBALUST,BOBALUST,6617 132ND AVE NE,KIRKLAND,98033,2021.0,Bobalust,Local/Regional,MilkTea,boba milk tea,Multi-city boba tea chain in King County,Independent chain,,BOBALUST,BOBALUST,ChIJt3Gy3a1tkFQRRyT8U0o49GU,https://maps.google.com/?cid=7346558784035890247,http://bobalustteahouse.com/,4.5,302.0,,5,5,1,,25,1.0,4.4,2021-10-03,2026-02-08
BID|PR0052459,bobalust,BID|PR0052459,BOBALUST,BOBALUST,BOBALUST,4553 UNIVERSITY WAY NE ,SEATTLE,98105,2022.0,Bobalust,Local/Regional,MilkTea,boba milk tea,Multi-city boba tea chain in King County,Independent chain,,BOBALUST,BOBALUST,ChIJ2xxT5fgVkFQReKUl3fwqq9k,https://maps.google.com/?cid=15684677392778241400,https://www.bobalustteahouse.com/,4.4,76.0,,5,5,1,,25,1.0,4.4,2021-10-03,2026-02-08
BID|PR0087133,bobalust,BID|PR0087133,BOBALUST TEA HOUSE,BOBALUST TEA HOUSE,BOBALUST TEA HOUSE,319 TUKWILA PKWY,TUKWILA,98188,2017.0,Bobalust,Local/Regional,MilkTea,boba milk tea,Multi-city boba tea chain in King County,Independent chain,,BOBALUSTTEAHOUSE,BOBALUST TEA HOUSE,ChIJl0-WCtVckFQRKnzjnmUYsP0,https://maps.google.com/?cid=18280137712233315370,http://bobalustteahouse.com/,4.5,748.0,1.0,5,5,1,,5,1.0,2.2,2022-12-18,2026-02-07
BID|PR0091843,bober_tea_mochi_dough,BID|PR0091843,Bober Tea & Mochi Dough,Bober Tea & Mochi Dough,Bober Tea & Mochi Dough,605 BROADWAY E,SEATTLE,98102,2024.0,Bober Tea & Mochi Dough,Local/Regional,Unknown,boba tea/mochi dough,Dessert and tea hybrid,Independent,,BOBERTEAMOCHIDOUGH,Bober Tea & Mochi Dough,ChIJP1hHXAAVkFQRQdD2HVH5-4M,https://maps.google.com/?cid=9510469164913315905,http://www.yummmochi.com/,4.6,294.0,,5,5,1,,5,1.0,4.2,2024-08-15,2026-01-28
MANUAL|CHACO_COFFEE_TEA_SEATTLE_98109,chaco_coffee_tea,MANUAL|CHACO_COFFEE_TEA_SEATTLE_98109,CHACO COFFEE & TEA,CHACO COFFEE & TEA,CHACO COFFEE & TEA,100 4TH AVE N STE 165,SEATTLE,98109,,Chaco Coffee & Tea,Local/Regional,MilkTea,coffee/tea,Coffee and tea hybrid,Independent,,CHACOCOFFEETEA,CHACO COFFEE & TEA,ChIJdxfOMSYVkFQRT283uS_dls4,https://maps.google.com/?cid=14886328815360372559,https://chacoffeeandtea.com/,4.8,246.0,,5,5,1,,5,1.0,4.6,2025-10-18,2026-01-09
BID|PR0085053,chaco_coffee_tea,BID|PR0085053,CHACO COFFEE AND TEA,CHACO COFFEE AND TEA,CHACO COFFEE AND TEA,140 4TH AVE N STE 165,SEATTLE,98109,2025.0,Chaco Coffee & Tea,Local/Regional,MilkTea,coffee/tea,Coffee and tea hybrid,Independent,,CHACOCOFFEEANDTEA,CHACO COFFEE AND TEA,ChIJdxfOMSYVkFQRT283uS_dls4,https://maps.google.com/?cid=14886328815360372559,https://chacoffeeandtea.com/,4.8,246.0,,5,5,1,,5,1.0,4.6,2025-10-18,2026-01-09
MANUAL|CHAYAN_SEATTLE_98105,chayan,MANUAL|CHAYAN_SEATTLE_98105,CHAYAN,CHAYAN,CHAYAN,4106 BROOKLYN AVE NE SUITE 103A,SEATTLE,98105,,Chayan,Mainland China,PureTea,tea latte/pure tea,Chinese-style tea brand,Direct/partner,,CHAYAN,CHAYAN,ChIJyUKPLcAVkFQR50llYBwKOsY,https://maps.google.com/?cid=14283740285151562215,,4.2,66.0,,5,5,1,,5,1.0,4.2,2025-09-06,2025-11-26
BID|PR0089923,chicha_san_chen,BID|PR0089923,CHICHA SAN CHEN,CHICHA SAN CHEN,CHICHA SAN CHEN,400 BELLEVUE SQ STE 188,BELLEVUE,98004,2025.0,Chicha San Chen,Taiwan,PureTea,teapresso/fresh milk tea,Premium hand-brewed tea specialist,Franchise/select,https://www.chichasanchen.com/,CHICHASANCHEN,CHICHA SAN CHEN,ChIJG7hjCUZtkFQR18zhUHvgKpw,https://maps.google.com/?cid=11253053439181180119,http://chichasanchenwa.com/,4.2,829.0,2.0,5,5,1,,15,2.0,4.699999999999999,2025-06-22,2026-02-12
BID|PR0092458,chicha_san_chen,BID|PR0092458,Chicha San Chen,Chicha San Chen,Chicha San Chen,17480 SOUTHCENTER PKWY,TUKWILA,98188,2025.0,Chicha San Chen,Taiwan,PureTea,teapresso/fresh milk tea,Premium hand-brewed tea specialist,Franchise/select,https://www.chichasanchen.com/,CHICHASANCHEN,Chicha San Chen,ChIJuShFmJpdkFQRycy8x-m_lzM,https://maps.google.com/?cid=3717651028216958153,https://chichasanchenwa.com/,4.8,339.0,,5,5,1,,15,2.0,4.699999999999999,2025-06-22,2026-02-12
BID|PR0092784,choo_tea,BID|PR0092784,CHOO TEA,CHOO TEA,CHOO TEA,155 108th AVE NE 101,BELLEVUE,98004,2025.0,Choo Tea,Local/Regional,MilkTea,milk tea/fruit tea,Local tea shop,Independent,,CHOOTEA,CHOO TEA,ChIJPwQIGfZtkFQRgy4vLW1y5ho,https://maps.google.com/?cid=1938362502864645763,,4.6,101.0,,5,5,1,,5,1.0,4.2,2025-09-21,2025-11-27
MANUAL|CHOO_TEA_BELLEVUE_98004,choo_tea,MANUAL|CHOO_TEA_BELLEVUE_98004,CHOO TEA BELLEVUE,CHOO TEA BELLEVUE,CHOO TEA BELLEVUE,155 108TH AVE NE #101,BELLEVUE,98004,,Choo Tea,Local/Regional,MilkTea,milk tea/fruit tea,Local tea shop,Independent,,CHOOTEABELLEVUE,CHOO TEA BELLEVUE,ChIJPwQIGfZtkFQRgy4vLW1y5ho,https://maps.google.com/?cid=1938362502864645763,,4.6,101.0,,5,5,1,,5,1.0,4.2,2025-09-21,2025-11-27
BID|PR0091778,coco_fresh_tea_juice,BID|PR0091778,COCO FRESH,COCO FRESH,COCO FRESH,4700 BROOKLYN AVE NE,SEATTLE,98105,2024.0,CoCo Fresh Tea & Juice,Taiwan,MilkTea,milk tea/juice,Scale chain with broad menu and value orientation,Franchise-heavy,https://www.coco-tea.com/,COCOFRESH,COCO FRESH,ChIJJYfzOAAVkFQRmkSR4yhzbz0,https://maps.google.com/?cid=4426883578182321306,https://www.instagram.com/cocobubbleteaseattle?igsh=MTFiemJobjV0MDYx,4.8,11.0,1.0,5,5,1,,10,2.0,4.4,2025-01-06,2026-02-13
BID|PR0081538,coco_fresh_tea_juice,BID|PR0081538,COCO FRESH TEA & JUICE,COCO FRESH TEA & JUICE,COCO FRESH TEA & JUICE,11028 NE 8TH ST,BELLEVUE,98004,2017.0,CoCo Fresh Tea & Juice,Taiwan,MilkTea,milk tea/juice,Scale chain with broad menu and value orientation,Franchise-heavy,https://www.coco-tea.com/,COCOFRESHTEAJUICE,COCO FRESH TEA & JUICE,ChIJaxM024tskFQRmF1Nqcam2n0,https://maps.google.com/?cid=9068744171838070168,,4.2,494.0,1.0,5,5,1,,10,2.0,4.5,2018-06-03,2026-02-06
BID|PR0081660,coco_fresh_tea_juice,BID|PR0081660,COCO FRESH TUKWILA,COCO FRESH TUKWILA,COCO FRESH TUKWILA,728 SOUTHCENTER MALL STE 1480,TUKWILA,98188,2023.0,CoCo Fresh Tea & Juice,Taiwan,MilkTea,milk tea/juice,Scale chain with broad menu and value orientation,Franchise-heavy,https://www.coco-tea.com/,COCOFRESHTUKWILA,COCO FRESH TUKWILA,ChIJ2aQ-18pdkFQRhVQR8Xu05u0,https://maps.google.com/?cid=17142587476050793605,https://www.coco-tea.com/,3.2,65.0,1.0,5,5,1,,10,2.0,4.0,2023-02-20,2026-01-07
BID|PR0091273,comebuy_tea,BID|PR0091273,Come Buy Tea,Come Buy Tea,Come Buy Tea,824 E PIKE ST,SEATTLE,98122,2024.0,Comebuy Tea,Taiwan,FruitTea,fruit tea/milk tea,Tea chain with fruit tea and milk tea mix,Franchise/select,https://www.comebuy2002.com.tw/,COMEBUYTEA,Come Buy Tea,ChIJHSEFMgBrkFQRoJzpf-eavEE,https://maps.google.com/?cid=4736831227161058464,https://comebuytea-usa.com/,4.1,241.0,1.0,5,5,1,,10,2.0,3.6,2025-08-03,2026-01-25
BID|PR0071069,diy_tea_lab,BID|PR0071069,DIY TEA LAB,DIY TEA LAB,DIY TEA LAB,12561 116TH AVE NE ,KIRKLAND,98034,2024.0,DIY Tea Lab,Local/Regional,FruitTea,custom tea drinks,Tea customization concept,Independent,,DIYTEALAB,DIY TEA LAB,ChIJa9WWthENkFQRxsOyeLQfluU,https://maps.google.com/?cid=16543445141171651526,https://www.toasttab.com/local/order/diy-tea-lab-cafe-kirkland/r-2f2a44c7-057e-426f-bd16-78bf0e56e18e,4.2,285.0,1.0,5,5,1,,5,1.0,3.6,2024-11-11,2026-02-22
BID|PR0088857,diy_tea_lab,BID|PR0088857,DIY TEA LAB - NEWCASTLE,DIY TEA LAB - NEWCASTLE,DIY TEA LAB - NEWCASTLE,6973 COAL CREEK PKWY SE,NEWCASTLE,98059,2020.0,DIY Tea Lab,Local/Regional,FruitTea,custom tea drinks,Tea customization concept,Independent,,DIYTEALABNEWCASTLE,DIY TEA LAB - NEWCASTLE,ChIJGfshCV5pkFQRAugZHXGRRko,https://maps.google.com/?cid=5352125122181982210,https://www.diytealab.com/,4.5,260.0,1.0,5,5,1,,5,1.0,4.8,2025-10-21,2026-01-02
MANUAL|DIY_TEA_LAB_NORTHGATE_98125,diy_tea_lab,MANUAL|DIY_TEA_LAB_NORTHGATE_98125,DIY TEA LAB - NORTHGATE,DIY TEA LAB - NORTHGATE,DIY TEA LAB - NORTHGATE,334 NE NORTHGATE WAY,SEATTLE,98125,2023.0,DIY Tea Lab,Local/Regional,FruitTea,custom tea drinks,Tea customization concept,Independent,,DIYTEALABNORTHGATE,DIY TEA LAB - NORTHGATE,ChIJjQxuYV0RkFQR2updpXUhW1A,https://maps.google.com/?cid=5790258535084190426,https://www.diytealab.com/,,,,0,0,1,,0,,,,
BID|PR0087763,diy_tea_lab,BID|PR0087763,JUST POKE & DIY TEA LAB,JUST POKE & DIY TEA LAB,JUST POKE & DIY TEA LAB,734 N 34TH ST,SEATTLE,98103,2023.0,DIY Tea Lab,Local/Regional,FruitTea,custom tea drinks,Tea customization concept,Independent,,JUSTPOKEDIYTEALAB,JUST POKE & DIY TEA LAB,ChIJlz_0JIEVkFQR0eYO4WN5ZaY,https://maps.google.com/?cid=11990123052828387025,http://www.justpoke.com/,4.0,167.0,2.0,5,5,1,,10,1.0,4.4,2019-03-09,2026-02-10
BID|PR0087072,diy_tea_lab,BID|PR0087072,JUST POKE & DIY TEA LAB,JUST POKE & DIY TEA LAB,JUST POKE & DIY TEA LAB,2215 NW MARKET ST,SEATTLE,98107,2022.0,DIY Tea Lab,Local/Regional,FruitTea,custom tea drinks,Tea customization concept,Independent,,JUSTPOKEDIYTEALAB,JUST POKE & DIY TEA LAB,ChIJoapjoroVkFQRCgTZNKNjS9o,https://maps.google.com/?cid=15729775676139045898,https://justpoke.com/locations/ballard/,4.3,56.0,2.0,5,5,1,,10,1.0,4.4,2019-03-09,2026-02-10
BID|PR0088750,ding_tea,BID|PR0088750,DING TEA,DING TEA,DING TEA,321 RAMSAY WAY STE #102,KENT,98032,2019.0,Ding Tea,Taiwan,MilkTea,milk tea/toppings,Mainstream milk tea chain with broad toppings,Franchise-heavy,https://www.dingtea.com/,DINGTEA,DING TEA,ChIJc5fZVl8VkFQRuCMI2dKFB9Q,https://maps.google.com/?cid=15278327401508512696,https://www.clover.com/online-ordering/ding-tea-seattle-seattle-2,4.3,353.0,1.0,5,5,1,,20,2.0,3.25,2018-10-20,2026-02-12
BID|PR0045529,ding_tea,BID|PR0045529,DING TEA,DING TEA,DING TEA,4725 UNIVERSITY WAY NE ,SEATTLE,98105,2018.0,Ding Tea,Taiwan,MilkTea,milk tea/toppings,Mainstream milk tea chain with broad toppings,Franchise-heavy,https://www.dingtea.com/,DINGTEA,DING TEA,ChIJc5fZVl8VkFQRuCMI2dKFB9Q,https://maps.google.com/?cid=15278327401508512696,https://www.clover.com/online-ordering/ding-tea-seattle-seattle-2,4.3,353.0,1.0,5,5,1,,20,2.0,3.25,2018-10-20,2026-02-12
BID|PR0091619,ding_tea,BID|PR0091619,DING TEA+ & 36 STREETS VIETNAMESE COFFEE,DING TEA+ & 36 STREETS VIETNAMESE COFFEE,DING TEA+ & 36 STREETS VIETNAMESE COFFEE,9712 NE 119TH WAY,KIRKLAND,98034,2020.0,Ding Tea,Taiwan,MilkTea,milk tea/toppings,Mainstream milk tea chain with broad toppings,Franchise-heavy,https://www.dingtea.com/,DINGTEA36STREETSVIETNAMESECOFFEE,DING TEA+ & 36 STREETS VIETNAMESE COFFEE,ChIJwzSwOngTkFQRPncZPCyhiJU,https://maps.google.com/?cid=10775039319842846526,https://www.order.store/store/ding-tea-kirkland/Ve5IGX8ZWZaIwxmh7DSXxQ,4.5,91.0,1.0,5,5,1,,5,1.0,4.8,2024-06-08,2025-12-21
BID|PR0088284,ding_tea,BID|PR0088284,"DING TEA, COVINGTON","DING TEA, COVINGTON","DING TEA, COVINGTON",17327 SE 270TH PL #101,COVINGTON,98042,2021.0,Ding Tea,Taiwan,MilkTea,milk tea/toppings,Mainstream milk tea chain with broad toppings,Franchise-heavy,https://www.dingtea.com/,DINGTEACOVINGTON,"DING TEA, COVINGTON",ChIJa7H7jHBfkFQR8HErzLf4494,https://maps.google.com/?cid=16060954164421423600,https://www.clover.com/online-ordering/dtcovington,3.6,112.0,1.0,5,5,1,,5,1.0,3.8,2021-01-29,2022-10-19
BID|PR0091982,dont_yell_at_me,BID|PR0091982,DON'T YELL AT ME,DON'T YELL AT ME,DON'T YELL AT ME,550 106TH AVE STE 150,BELLEVUE,98004,2024.0,Dont Yell At Me,Taiwan-origin style,PureTea,signature tea latte/donut pairing,Design-led tea brand,Franchise/select,https://dontyellatme.com/,DONTYELLATME,DON'T YELL AT ME,ChIJKxDMQfRtkFQRnBeQgOhg3Lk,https://maps.google.com/?cid=13392685943598618524,https://en.dontyellatme.com/,4.0,68.0,1.0,5,5,1,,30,2.0,4.016666666666667,2023-03-19,2026-02-05
BID|PR0053727,dont_yell_at_me,BID|PR0053727,DON'T YELL AT ME,DON'T YELL AT ME,DON'T YELL AT ME,4511 UNIVERSITY WAY NE,SEATTLE,98105,2020.0,Dont Yell At Me,Taiwan-origin style,PureTea,signature tea latte/donut pairing,Design-led tea brand,Franchise/select,https://dontyellatme.com/,DONTYELLATME,DON'T YELL AT ME,ChIJ1dDladYVkFQR6Wuy2BwDKRk,https://maps.google.com/?cid=1812983747422874601,https://en.dontyellatme.com/%E9%96%80%E5%B8%82%E5%88%97%E8%A1%A8-%E7%BE%8E%E5%9C%8B,4.4,555.0,1.0,5,5,1,,30,2.0,4.016666666666667,2023-03-19,2026-02-05
BID|PR0089620,dont_yell_at_me,BID|PR0089620,DONT YELL AT ME,DONT YELL AT ME,DONT YELL AT ME,12655 120TH AVE NE SUITE 190,KIRKLAND,98034,2020.0,Dont Yell At Me,Taiwan-origin style,PureTea,signature tea latte/donut pairing,Design-led tea brand,Franchise/select,https://dontyellatme.com/,DONTYELLATME,DONT YELL AT ME,ChIJIYjfn_8NkFQRF3SptRLL5yc,https://maps.google.com/?cid=2875490168316982295,https://it14321.wixsite.com/don-t-yell-at-me,4.4,441.0,1.0,5,5,1,,30,2.0,4.016666666666667,2023-03-19,2026-02-05
BID|PR0090644,dont_yell_at_me,BID|PR0090644,Dont Yell At Me,Dont Yell At Me,Dont Yell At Me,125 Broadway E,SEATTLE,98102,2022.0,Dont Yell At Me,Taiwan-origin style,PureTea,signature tea latte/donut pairing,Design-led tea brand,Franchise/select,https://dontyellatme.com/,DONTYELLATME,Dont Yell At Me,ChIJpVfay9wVkFQRtDKMQHKr5xg,https://maps.google.com/?cid=1794591483727983284,https://www.instagram.com/dontyellatme.usa/,4.4,202.0,1.0,5,5,1,,30,2.0,4.016666666666667,2023-03-19,2026-02-05
BID|PR0087952,drink_t,BID|PR0087952,DRINK T,DRINK T,DRINK T,14509 NE 20TH ST STE C,BELLEVUE,98007,2023.0,Drink T,Local/Regional,FruitTea,fruit tea/milk tea,Tea-focused independent concept,Independent,,DRINKT,DRINK T,ChIJcTU0D19tkFQRMwWobrLley8,https://maps.google.com/?cid=3421580896441468211,https://pos.chowbus.com/online-ordering/store/15258,3.9,78.0,1.0,5,5,1,,10,2.0,3.6,2023-09-06,2025-11-21
BID|PR0091742,drip_tea,BID|PR0091742,DRIP TEA,DRIP TEA,DRIP TEA,1313 W MEEKER ST STE 221,KENT,98032,2024.0,Drip Tea,Local/Regional,FruitTea,milk tea/fruit tea,Tea-forward shop with milk tea lineup,Independent,,DRIPTEA,DRIP TEA,ChIJa9jPouNbkFQR2gp8fOACisM,https://maps.google.com/?cid=14090077547366451930,https://www.dshs.wa.gov/esa/community-services-find-an-office?field_closet_zip_code_value=98032&field_counties_value=All,3.6,98.0,,5,5,1,,10,1.0,3.2,2019-02-15,2025-12-26
BID|PR0086241,drip_tea,BID|PR0086241,DRIP TEA,DRIP TEA,DRIP TEA,1416 10TH AVE,SEATTLE,98122,2020.0,Drip Tea,Local/Regional,FruitTea,milk tea/fruit tea,Tea-forward shop with milk tea lineup,Independent,,DRIPTEA,DRIP TEA,ChIJrfg2dK5rkFQRoMO4_RR4NZM,https://maps.google.com/?cid=10607516528892494752,http://dripteaseattle.com/,4.3,450.0,1.0,5,5,1,,10,1.0,3.2,2019-02-15,2025-12-26
BID|PR0091100,feng_cha,BID|PR0091100,FENG CHA,FENG CHA,FENG CHA,203 S 2ND ST STE C,RENTON,98057,2023.0,Feng Cha,Mainland China style,FruitTea,fruit tea/milk tea,Fruit tea and milk tea concept,Partner/store growth,,FENGCHA,FENG CHA,ChIJe2LloaJDkFQRPjkKhJdukxY,https://maps.google.com/?cid=1626765487445260606,https://www.fengchausa.com/,4.7,392.0,1.0,5,5,1,,5,1.0,4.2,2023-08-19,2025-12-24
BID|PR0092614,gong_cha,BID|PR0092614,"TeaDOS, LLC dba Gong Cha","TeaDOS, LLC dba Gong Cha","TeaDOS, LLC dba Gong Cha",1124 E Pike ST,SEATTLE,98122,2025.0,Gong Cha,Taiwan,MilkTea,milk tea/fruit tea,Global tea franchise with strong urban mall footprint,Franchise-heavy,https://gongchausofficial.com/,TEADOSLLCDBAGONGCHA,"TeaDOS, LLC dba Gong Cha",ChIJDcGjUgBrkFQRU8IjgEYnzuo,https://maps.google.com/?cid=16919504033828553299,http://gongchausofficial.com/our_locations/#washington,3.4,82.0,,5,5,1,,10,2.0,3.7,2025-09-27,2026-02-11
